C001-1261,Productos,2023-06-28,DOLARES,CONTADO,Generada,3.633,3.64,1261,1 DÍAS,0,1,ENTREGA SEGÚN STOCK,,0,1,0
C001-1260,Productos,2023-06-28,DOLARES,CONTADO,Emitida,3.633,3.64,1260,1 DÍAS,0,1,ENTREGA SEGÚN STOCK,,0,1,0
C001-1259,Productos,2023-06-27,DOLARES,CONTADO,Emitida,3.635,3.642,1259,1 DÍAS,0,1,ENTREGA SEGÚN STOCK,,0,1,0
C001-1258,Productos,2023-06-27,DOLARES,CONTADO,Emitida,3.635,3.642,1258,1 DÍAS,0,1,ENTREGA SEGÚN STOCK,,0,1,0
C001-1257,Productos,2023-06-27,SOLES,CREDITO,Generada,3.635,3.642,1257,1 DÍAS,60 DÍAS,1,PRODUCTOS EN STOCK 7 DÍAS HÁBILES LA ENTREGA.,,0,1,0
C001-1256,Productos,2023-06-27,SOLES,CONTADO,Generada,3.635,3.642,1256,1 DÍAS,0,1,Entrega según stock,,0,1,0
C001-1255,Productos,2023-06-27,DOLARES,CONTADO,Generada,3.635,3.642,1255,1 DÍAS,0,1,ENTREGA SEGÚN STOCK,,0,1,0
C001-1254,Productos,2023-06-27,DOLARES,CONTADO,Emitida,3.635,3.642,1254,1 DÍAS,0,1,ENTREGA SEGÚN STOCK,,0,1,0
C001-1253,Productos,2023-06-27,DOLARES,CONTADO,Emitida,3.635,3.642,1253,1 DÍAS,0,1,ENTREGA SEGÚN STOCK,,0,1,0
C001-1252,Servicios,2023-06-26,SOLES,CONTADO,Emitida,3.628,3.638,1252,1 DÍAS,0,1,MANTTO PREV. PINTADO E/P KIANA,70057557,0,1,0
C001-1251,Servicios,2023-06-26,SOLES,CONTADO,Emitida,3.628,3.638,1251,1 DÍAS,0,1,RETOQUE DE BODEGAS E/P DON LUIS,70057489,0,1,0
C001-1250,Productos,2023-06-26,DOLARES,CONTADO,Emitida,3.628,3.638,1250,1 DÍAS,0,1,ENTREGA SEGÚN STOCK,,0,1,0
C001-1249,Productos,2023-06-26,DOLARES,CONTADO,Emitida,3.628,3.638,1249,1 DÍAS,0,1,ENTREGA SEGÚN STOCK,,0,1,0
C001-1248,Productos,2023-06-26,DOLARES,CONTADO,Generada,3.628,3.638,1248,1 DÍAS,0,1,ENTREGA SEGÚN STOCK,,0,1,0
C001-1247,Productos,2023-07-11,SOLES,CONTADO,Generada,3.628,3.638,1247,7 DIAS,0,1,,,1,1,0
C001-1246,Productos,2023-06-26,DOLARES,CONTADO,Emitida,3.628,3.638,1246,1 DÍAS,0,1,ENTREGA SEGÚN STOCK,,0,1,0
