CABO POLIETILENO 4MM ROJO ,CABPEL03H4MMROJ,25111922,CABO,POLIETILENO,KG,,0,0.0,0.0,0.0,0.0,OFF
CABO POLIETILENO 4MM VERDE ,CABPEL03H4MMVER,25111922,CABO,POLIETILENO,KG,,0,0.0,0.0,0.0,0.0,OFF
CABO POLIETILENO 4MM VERDE LIMON,CAPO4VELI,25111922,CABO,,KG,,0,0.0,0.0,0.0,0.0,OFF
CABO POLIETILENO 5 MM VERDE LIMÓN,CAPOMMVELI,25111922,CABO,POLIPROPILENO,KG,,0,0.0,0.0,0.0,0.0,OFF
CABO POLIETILENO 5MM AMARILLO ,CABPEL03H5MMAMA,25111922,CABO,POLIETILENO,KG,,0,0.0,0.0,0.0,0.0,OFF
CABO POLIETILENO 5MM AZUL  ,CABPEL03H5MMAZL,25111922,CABO,POLIETILENO,KG,,0,0.0,0.0,0.0,0.0,OFF
CABO POLIETILENO 5MM NARANJA,CAPO5NA,25111922,CABO,,KG,,0,0.0,0.0,0.0,0.0,OFF
CABO POLIETILENO 5MM ROJO  ,CABPEL03H5MMROJ,25111922,CABO,POLIETILENO,KG,,0,0.0,0.0,0.0,0.0,OFF
CABO POLIETILENO 5MM VERDE ,CABPEL03H5MMVER,25111922,CABO,POLIETILENO,KG,,0,0.0,0.0,0.0,0.0,OFF
CABO POLIETILENO 6MM VERDE ,CABPEL03H6MMVER,25111922,CABO,POLIETILENO,KG,,0,0.0,0.0,0.0,0.0,OFF
CABO POLIPROPILENO,CABPRO,25111922,CABO,,KG,,0,0.0,0.0,0.0,0.0,OFF
"CABO POLIPROPILENO 1"" PREMIUM FORTEX",CABPPP03H100FORTEX,25111922,CABO,POLIPROPILENO,KG,,0,0.0,0.0,0.0,0.0,OFF
"CABO POLIPROPILENO 1/4""(06 MM.) FORTEX",CABPPP03H014FORTEX,25111922,CABO,POLIPROPILENO,KG,,0,0.0,0.0,0.0,0.0,OFF
CABO POLIPROPILENO 14MM VERDE,CAPO14VE,25111922,CABO,,KG,,0,0.0,0.0,0.0,0.0,OFF
CABO POLIPROPILENO 3/8” FORTEX,CABPPP03H038FORTEX,25111922,CABO,POLIPROPILENO,KG,,0,0.0,0.0,0.0,0.0,OFF
CABO POLIPROPILENO 3H 1/2 220 MTR PREMIUN VERDE FORTEX,CABPPP03H012200VER,25111922,CABO,POLIPROPILENO,KG,,0,0.0,0.0,0.0,0.0,OFF
CABO POLIPROPILENO 3H 1/4 220 MTR PREMIUN VERDE FORTEX,CABPPP03H014200VER,25111922,CABO,POLIPROPILENO,KG,,0,0.0,0.0,0.0,0.0,OFF
CABO POLIPROPILENO 3H 3/16 (04MM.) 220 MTR PREMIUN VERDE FORTEX,CABPPP03H316220VER,25111922,CABO,POLIPROPILENO,KG,,0,0.0,0.0,0.0,0.0,OFF
CABO POLIPROPILENO 3H 3/32 ECOLOGICO 7KG,CABPPP03H332VER,25111922,CABO,POLIPROPILENO,KG,,0,0.0,0.0,0.0,0.0,OFF
CABO POLIPROPILENO 3H 3/4 220 MTR PREMIUN VERDE FORTEX,CABPPP03H034220VER,25111922,CABO,POLIPROPILENO,KG,,0,0.0,0.0,0.0,0.0,OFF
CABO POLIPROPILENO 3H 3/8 220 MTR PREMIUN VERDE FORTEX,CABPPP03H038220VER,25111922,CABO,POLIPROPILENO,KG,,0,0.0,0.0,0.0,0.0,OFF
CABO POLIPROPILENO 3H 5/16 220 MTR PREMIUN VERDE FORTEX,CABPPP03H516220VER,25111922,CABO,POLIPROPILENO,KG,,0,0.0,0.0,0.0,0.0,OFF
CABO POLIPROPILENO 3H 5/32 220 MTR PREMIUN VERDE FORTEX,CABPPP03H532220VER,25111922,CABO,POLIPROPILENO,KG,,0,0.0,0.0,0.0,0.0,OFF
CABO POLIPROPILENO 3H 5/8 220 MTR PREMIUN VERDE FORTEX,CABPPP03H058220VER,25111922,CABO,POLIPROPILENO,KG,,0,0.0,0.0,0.0,0.0,OFF
CABO POLIPROPILENO 3H 5MM VERDE ,CABPLP5MMVER,25111922,CABO,POLIPROPILENO,KG,,0,0.0,0.0,0.0,0.0,OFF
CABO POLIPROPILENO 3H 7/16 220 MTR PREMIUN VERDE FORTEX,CABPPP03H716220VER,25111922,CABO,POLIPROPILENO,KG,,0,0.0,0.0,0.0,0.0,OFF
"CABO POLIPROPILENO 3H TORC"" (09 MM.)  KG VERDE ",CABPPP03H09MMVER,25111922,CABO,POLIPROPILENO,KG,,0,0.0,0.0,0.0,0.0,OFF
"CABO POLIPROPILENO 3H TORC"". 3/16 (04 MM.) KG. VERDE ",CABPPP03H04MMVER,25111922,CABO,POLIPROPILENO,KG,,0,0.0,0.0,0.0,0.0,OFF
"CABO POLIPROPILENO 3H TORC. "" (16 MM.) KG. VERDE ",CABPPP03H16MMVER,25111922,CABO,POLIPROPILENO,KG,,0,0.0,0.0,0.0,0.0,OFF
"CABO POLIPROPILENO 3H TORC. 1/2"" (12 MM.) KG. VERDE ",CABPPP03H12MMVER,25111922,CABO,POLIPROPILENO,KG,,0,0.0,0.0,0.0,0.0,OFF
"CABO POLIPROPILENO 3H TORC. 1/4"" (06 MM.) KG VERDE ",CABPPP03H06MMVER,25111922,CABO,POLIPROPILENO,KG,,0,0.0,0.0,0.0,0.0,OFF
"CABO POLIPROPILENO 3H TORC. 3/4"" (18 MM.) KG. VERDE ",CABPPP03H18MMVER,25111922,CABO,POLIPROPILENO,KG,,0,0.0,0.0,0.0,0.0,OFF
"CABO POLIPROPILENO 3H TORC. 3/8"" (10 MM.) KG. VERDE ",CABPPP03H10MMVER,25111922,CABO,POLIPROPILENO,KG,,0,0.0,0.0,0.0,0.0,OFF
"CABO POLIPROPILENO 3H TORC. 5/16"" (08 MM.) KG.VERDE ",CABPPP03H08MM,25111922,CABO,POLIPROPILENO,KG,,0,0.0,0.0,0.0,0.0,OFF
"CABO POLIPROPILENO 3H TORC. 7/16"" (11 MM.) KG. VERDE ",CABPPP03H11MMVER,25111922,CABO,POLIPROPILENO,KG,,0,0.0,0.0,0.0,0.0,OFF
CABO POLIPROPILENO 4H 1 1/2 220MTR VERDE TUFROST,CABPPP04H112220VER,25111922,CABO,POLIPROPILENO,KG,,0,0.0,0.0,0.0,0.0,OFF
"CABO POLIPROPILENO 4H 1 1/2"" FORTEX ",CABPPP04H112FORTEX,25111922,CABO,POLIPROPILENO,KG,,0,0.0,0.0,0.0,0.0,OFF
CABO POLIPROPILENO 4H 1 1/4 220MTR VERDE TUFROST,CABPPP04H114220VER,25111922,CABO,POLIPROPILENO,KG,,0,0.0,0.0,0.0,0.0,OFF
"CABO POLIPROPILENO 4H 1 1/4"" FORTEX ",CABPPP04H114FORTEX,25111922,CABO,POLIPROPILENO,KG,,0,0.0,0.0,0.0,0.0,OFF
CABO POLIPROPILENO 4H 1 1/8 220MTR VERDE TUFROST,CABPPP04H118220VER,25111922,CABO,POLIPROPILENO,KG,,0,0.0,0.0,0.0,0.0,OFF
CABO POLIPROPILENO 4H 1 3/4 220MTR VERDE TUFROST,CABPPP04H134220VER,25111922,CABO,POLIPROPILENO,KG,,0,0.0,0.0,0.0,0.0,OFF
"CABO POLIPROPILENO 4H 1 3/4"" VERDE ",CABPOL134VER,25111922,CABO,POLIPROPILENO,KG,,0,0.0,0.0,0.0,0.0,OFF
CABO POLIPROPILENO 4MM AZUL FORTEX,CABPLP4MMAZLFOR,25111922,CABO,POLIPROPILENO,KG,,0,0.0,0.0,0.0,0.0,OFF
CABO POLIPROPILENO 4MM VERDE FORTEX,CABPLP4MMVERFOR,25111922,CABO,POLIPROPILENO,KG,,0,0.0,0.0,0.0,0.0,OFF
"CABO POLIPROPILENO 5/16""(08MM) FORTEX",CABPPP03H0516FORTEX,25111922,CABO,POLIPROPILENO,KG,,0,0.0,0.0,0.0,0.0,OFF
CABO POLIPROPILENO 5MM AZUL FORTEX,CABPLP5MMAZLFOR,25111922,CABO,POLIPROPILENO,KG,,0,0.0,0.0,0.0,0.0,OFF
CABO POLIPROPILENO 5MM VERDE FORTEX,CABPLP5MMVERFOR,25111922,CABO,POLIPROPILENO,KG,,0,0.0,0.0,0.0,0.0,OFF
"CABO POLIESTER TORCIDO 1 1/8"" ALQUITRANADO",CABPLS04H118ALQ,25111922,CABO,POLIESTER ALQUITRANADO,KG,DOLARES,0,0.0,0.0,0.0,0.0,OFF
"CABO POLIESTER TORCIDO 1 3/4"" ALQUITRANADO",CABPLS04H134ALQ,25111922,CABO,POLIESTER ALQUITRANADO,KG,DOLARES,0,0.0,0.0,0.0,0.0,OFF
"CABO POLIESTER TORCIDO 1 3/8"" ALQUITRANADO",CABPLS04H138ALQ,25111922,CABO,POLIESTER ALQUITRANADO,KG,DOLARES,0,0.0,0.0,0.0,0.0,OFF
CABO POLIESTER TORCIDO 1 ALQUITRANADO,CABPLS04H100ALQ,25111922,CABO,POLIESTER ALQUITRANADO,KG,DOLARES,0,0.0,0.0,0.0,0.0,OFF
"CABO POLIESTER TORCIDO 2"" ALQUITRANADO",CABPLS2ALQ,25111922,CABO,POLIESTER,KG,DOLARES,0,0.0,0.0,0.0,0.0,OFF
"CABO POLIESTER  TORCIDO 1 1/2"" ",CABPLS04H112,25111922,CABO,POLIESTER ,KG,DOLARES,0,0.0,0.0,0.0,0.0,OFF
"CABO POLIESTER  TORCIDO 1 1/4"" ",CABPLS04H114,25111922,CABO,POLIESTER ,KG,DOLARES,0,0.0,0.0,0.0,0.0,OFF
"CABO POLIESTER TORCIDO 1 1/8"" ",CABPLS04H118,25111922,CABO,POLIESTER ,KG,DOLARES,0,0.0,0.0,0.0,0.0,OFF
CABO POLIESTER TORCIDO 1/2”,CABPLS03H12,25111922,CABO,POLIESTER,KG,DOLARES,0,0.0,0.0,0.0,0.0,OFF
CABO POLIESTER TORCIDO 3/4,CABPLS03H34,25111922,CABO,POLIESTER,KG,DOLARES,0,0.0,0.0,0.0,0.0,OFF
CABO POLIESTER TORCIDO 5/8,CABPLS03H58,25111922,CABO,POLIESTER,KG,DOLARES,0,0.0,0.0,0.0,0.0,OFF
"CABO POLIESTER TORCIDO 7/8"" ",CABPLS03H78,25111922,CABO,POLIESTER ,KG,DOLARES,0,0.0,0.0,0.0,0.0,OFF
"CORDEL NYLON 210/1024 ,ALQUITRANADO TRENZADO ,MADEJA ",CONY2101024ALTRMA,21111502,CORDEL NYLON,MADEJA,KG,DOLARES,0,0.0,0.0,0.0,0.0,OFF
"CORDEL NYLON 210/120 ,ALQUITRANADO TRENZADO ,MADEJA  ",CON120ALQMAD,21111502,CORDEL NYLON,MADEJA,KG,DOLARES,0,0.0,0.0,0.0,0.0,OFF
"CORDEL NYLON 210/128 ,ALQUITRANADO TRENZADO ,MADEJA ",CON128ALQMAD,21111502,CORDEL NYLON,MADEJA,KG,DOLARES,0,0.0,0.0,0.0,0.0,OFF
"CORDEL NYLON 210/144 ,ALQUITRANADO TRENZADO ,MADEJA",CON144ALQMAD,21111502,CORDEL NYLON,MADEJA,KG,DOLARES,0,0.0,0.0,0.0,0.0,OFF
"CORDEL NYLON 210/180 ,ALQUITRANADO TRENZADO ,MADEJA",CON180ALQMAD,21111502,CORDEL NYLON,MADEJA,KG,DOLARES,0,0.0,0.0,0.0,0.0,OFF
"CORDEL NYLON 210/24 ,ALQUITRANADO TORCIDO ,MADEJA",CON024ALQMAD,21111502,CORDEL NYLON,MADEJA,KG,DOLARES,0,0.0,0.0,0.0,0.0,OFF
"CORDEL NYLON 210/240 ,ALQUITRANADO TRENZADO ,MADEJA",CON240ALQMAD,21111502,CORDEL NYLON,MADEJA,KG,DOLARES,0,0.0,0.0,0.0,0.0,OFF
"CORDEL NYLON 210/27 ,VERDE TORCIDO ,MADEJA ",CON027VERMAD,21111502,CORDEL NYLON,MADEJA,KG,DOLARES,0,0.0,0.0,0.0,0.0,OFF
"CORDEL NYLON 210/36 ,VERDE ,MADEJA",CON036VERMAD,21111502,CORDEL NYLON,MADEJA,KG,DOLARES,0,0.0,0.0,0.0,0.0,OFF
"CORDEL NYLON 210/360 ,ALQUITRANADO TRENZADO ,MADEJA  ",CON360ALQMAD,21111502,CORDEL NYLON,MADEJA,KG,DOLARES,0,0.0,0.0,0.0,0.0,OFF
"CORDEL NYLON 210/48 ,ALQUITRANADO ,MADEJA",CON048ALQMAD,21111502,CORDEL NYLON,MADEJA,KG,DOLARES,0,0.0,0.0,0.0,0.0,OFF
"CORDEL NYLON 210/480 ,ALQUITRANADO TRENZADO ,MADEJA ",CON480ALQMAD,21111502,CORDEL NYLON,MADEJA,KG,DOLARES,0,0.0,0.0,0.0,0.0,OFF
"CORDEL NYLON 210/56 ,ALQUITRANADO TRENZADO ,MADEJA",CON056ALQMAD,21111502,CORDEL NYLON,MADEJA,KG,DOLARES,0,0.0,0.0,0.0,0.0,OFF
"CORDEL NYLON 210/60 ,ALQUITRANADO TORCIDO TORCIDO ,MADEJA ",CON060ALQMAD,21111502,CORDEL NYLON,MADEJA,KG,DOLARES,0,0.0,0.0,0.0,0.0,OFF
"CORDEL NYLON 210/640 ,ALQUITRANADO TRENZADO ,MADEJA ",CON640ALQMAD,21111502,CORDEL NYLON,MADEJA,KG,DOLARES,0,0.0,0.0,0.0,0.0,OFF
"CORDEL NYLON 210/72 ,ALQUITRANADO TORCIDO ,MADEJA",CON072ALQMAD,21111502,CORDEL NYLON,MADEJA,KG,DOLARES,0,0.0,0.0,0.0,0.0,OFF
CORDEL NYLON 210/72 VERDE MADEJA ,CON072VERMAD,21111502,CORDEL NYLON,MADEJA,KG,DOLARES,0,0.0,0.0,0.0,0.0,OFF
"CORDEL NYLON 210/736 ,ALQUITRANADO TRENZADO ,MADEJA ",CONY210736ALTRMA,21111503,CORDEL NYLON,,KG,DOLARES,0,0.0,0.0,0.0,0.0,OFF
"CORDEL NYLON 210/96 ,ALQUITRANADO TRENZADO ,MADEJA  ",CON096ALQMAD,21111502,CORDEL NYLON,MADEJA,KG,DOLARES,0,0.0,0.0,0.0,0.0,OFF
CORDEL NYLON 528 MADEJA ALQUITRANADO ,CON528ALQMAD,21111502,CORDEL NYLON,MADEJA,KG,DOLARES,0,0.0,0.0,0.0,0.0,OFF
CORDEL NYLON MADEJA 210/580 ALQUITRANADO MADEJA,CONYMA210580ALMA,21111502,CORDEL NYLON,,KG,DOLARES,0,0.0,0.0,0.0,0.0,OFF
"CORDEL NYLON 210/12 ,BLANCO TORCIDO ,BOBINA",CON012BLNBOB,21111502,CORDEL NYLON,BOBINA,KG,DOLARES,0,0.0,0.0,0.0,0.0,OFF
"CORDEL NYLON 210/12 ,MARRON TORCIDO ,BOBINA",CON012MRRBOB,21111502,CORDEL NYLON,BOBINA,KG,DOLARES,0,0.0,0.0,0.0,0.0,OFF
CENEFA Y ZIPPER 210/128 X 4 1/4 X 20 M.A ALQUITRANADO,CYZ128414100ALQ,52131701,CENEFA Y ZIPPER,,KG,,0,0.0,0.0,0.0,0.0,OFF
CENEFA Y ZIPPER 240 X 2 1/2 X 20 M. A ALQUITRANADO,CYZ240212X20ALQ,52131701,CENEFA Y ZIPPER,,KG,,0,0.0,0.0,0.0,0.0,OFF
